"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
115,"Campus Remember","A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat",2006,1,5,"2.99",167,"27.99","R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'astound':4 'boat':21 'build':15 'campus':1 'cow':12 'crocodil':8 'drama':5 'jet':20 'mad':11 'must':14 'rememb':2 'robot':17"
116,"Candidate Perdition","A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station",2006,1,4,"2.99",70,"10.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'administr':12 'brilliant':4 'candid':1 'compos':8 'databas':11 'epistl':5 'first':21 'mad':17 'man':22 'must':14 'perdit':2 'scientist':18 'space':23 'station':24 'vanquish':15"
118,"Canyon Stock","A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse",2006,1,7,"0.99",85,"26.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'canyon':1 'escap':14 'feminist':11 'manhattan':19 'must':13 'penthous':20 'reflect':5 'squirrel':16 'stock':2 'thought':4 'waitress':8"
129,"Cause Date","A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention",2006,1,3,"2.99",179,"16.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'caus':1 'chef':12 'conquer':15 'convent':21 'date':2 'explor':8 'hunter':17 'must':14 'mysql':20 'pastri':11 'tale':5 'taut':4"
135,"Chance Resurrection","A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China",2006,1,3,"2.99",70,"22.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'ancient':20 'astound':4 'chanc':1 'china':21 'forens':8,12 'moos':18 'must':15 'overcom':16 'psychologist':9,13 'resurrect':2 'stori':5"
138,"Chariots Conspiracy","A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station",2006,1,5,"2.99",71,"29.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'chariot':1 'chase':14 'conspiraci':2 'epistl':5 'first':19 'husband':11 'man':20 'must':13 'robot':8,16 'space':21 'station':22 'unbeliev':4"
148,"Chocolate Duck","A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China",2006,1,3,"2.99",132,"13.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'ancient':20 'china':21 'chocol':1 'compos':18 'discov':16 'duck':2 'mad':8 'must':15 'scientist':9 'stori':5 'technic':12 'unbeliev':4 'writer':13"
158,"Clones Pinocchio","A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans",2006,1,6,"2.99",124,"16.99","R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'amaz':4 'car':8 'clone':1 'dentist':16 'drama':5 'must':13 'new':18 'orlean':19 'pinocchio':2 'pursu':14 'robot':11"
159,"Closer Bang","A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India",2006,1,5,"4.99",58,"12.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'ancient':18 'bang':2 'closer':1 'frisbe':8 'hunter':11 'india':19 'monkey':16 'must':13 'panorama':5 'unbeliev':4 'vanquish':14"
162,"Clueless Bucket","A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House",2006,1,4,"2.99",95,"13.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'abandon':20 'bucket':2 'car':8 'clueless':1 'conquer':14 'fun':21 'hous':22 'must':13 'pioneer':11 'sumo':16 'tale':5 'taut':4 'wrestler':17"
168,"Comancheros Enemy","A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico",2006,1,5,"0.99",67,"23.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'bore':4 'comanchero':1 'enemi':2 'find':14 'gulf':19 'lumberjack':8 'mexico':21 'monkey':11,16 'must':13 'saga':5"
171,"Commandments Express","A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft",2006,1,6,"4.99",59,"13.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'abandon':20 'battl':15 'command':1 'express':2 'fanci':4 'hunter':17 'mad':11 'mine':21 'must':14 'saga':5 'scientist':12 'shaft':22 'student':8"
177,"Connecticut Tramp","A Unbelieveable Drama of a Crocodile And a Mad Cow who must Reach a Dentist in A Shark Tank",2006,1,4,"4.99",172,"20.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'connecticut':1 'cow':12 'crocodil':8 'dentist':17 'drama':5 'mad':11 'must':14 'reach':15 'shark':20 'tank':21 'tramp':2 'unbeliev':4"
183,"Conversation Downhill","A Taut Character Study of a Husband And a Waitress who must Sink a Squirrel in A MySQL Convention",2006,1,4,"4.99",112,"14.99","R","2013-05-26 14:50:58.951","{Commentaries}","'charact':5 'convent':21 'convers':1 'downhil':2 'husband':9 'must':14 'mysql':20 'sink':15 'squirrel':17 'studi':6 'taut':4 'waitress':12"
192,"Crossing Divorce","A Beautiful Documentary of a Dog And a Robot who must Redeem a Womanizer in Berlin",2006,1,4,"4.99",50,"19.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'beauti':4 'berlin':18 'cross':1 'divorc':2 'documentari':5 'dog':8 'must':13 'redeem':14 'robot':11 'woman':16"
195,"Crowds Telemark","A Intrepid Documentary of a Astronaut And a Forensic Psychologist who must Find a Frisbee in An Abandoned Fun House",2006,1,3,"4.99",112,"16.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'abandon':20 'astronaut':8 'crowd':1 'documentari':5 'find':15 'forens':11 'frisbe':17 'fun':21 'hous':22 'intrepid':4 'must':14 'psychologist':12 'telemark':2"
197,"Crusade Honey","A Fast-Paced Reflection of a Explorer And a Butler who must Battle a Madman in An Abandoned Amusement Park",2006,1,4,"2.99",112,"27.99","R","2013-05-26 14:50:58.951","{Commentaries}","'abandon':21 'amus':22 'battl':16 'butler':13 'crusad':1 'explor':10 'fast':5 'fast-pac':4 'honey':2 'madman':18 'must':15 'pace':6 'park':23 'reflect':7"
199,"Cupboard Sinners","A Emotional Reflection of a Frisbee And a Boat who must Reach a Pastry Chef in An Abandoned Amusement Park",2006,1,4,"2.99",56,"29.99","R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'abandon':20 'amus':21 'boat':11 'chef':17 'cupboard':1 'emot':4 'frisbe':8 'must':13 'park':22 'pastri':16 'reach':14 'reflect':5 'sinner':2"
213,"Date Speed","A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention",2006,1,4,"0.99",104,"19.99","R","2013-05-26 14:50:58.951","{Commentaries}","'compos':8 'convent':20 'date':1 'dentist':16 'discov':14 'moos':11 'must':13 'mysql':19 'saga':5 'speed':2 'touch':4"
221,"Deliverance Mulholland","A Astounding Saga of a Monkey And a Moose who must Conquer a Butler in A Shark Tank",2006,1,4,"0.99",100,"9.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'astound':4 'butler':16 'conquer':14 'deliver':1 'monkey':8 'moos':11 'mulholland':2 'must':13 'saga':5 'shark':19 'tank':20"
222,"Desert Poseidon","A Brilliant Documentary of a Butler And a Frisbee who must Build a Astronaut in New Orleans",2006,1,4,"4.99",64,"27.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'astronaut':16 'brilliant':4 'build':14 'butler':8 'desert':1 'documentari':5 'frisbe':11 'must':13 'new':18 'orlean':19 'poseidon':2"
227,"Details Packer","A Epic Saga of a Waitress And a Composer who must Face a Boat in A U-Boat",2006,1,4,"4.99",88,"17.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'boat':16,21 'compos':11 'detail':1 'epic':4 'face':14 'must':13 'packer':2 'saga':5 'u':20 'u-boat':19 'waitress':8"
229,"Devil Desire","A Beautiful Reflection of a Monkey And a Dentist who must Face a Database Administrator in Ancient Japan",2006,1,6,"4.99",87,"12.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'administr':17 'ancient':19 'beauti':4 'databas':16 'dentist':11 'desir':2 'devil':1 'face':14 'japan':20 'monkey':8 'must':13 'reflect':5"
231,"Dinosaur Secretary","A Action-Packed Drama of a Feminist And a Girl who must Reach a Robot in The Canadian Rockies",2006,1,7,"2.99",63,"27.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'action':5 'action-pack':4 'canadian':21 'dinosaur':1 'drama':7 'feminist':10 'girl':13 'must':15 'pack':6 'reach':16 'robot':18 'rocki':22 'secretari':2"
234,"Disturbing Scarface","A Lacklusture Display of a Crocodile And a Butler who must Overcome a Monkey in A U-Boat",2006,1,6,"2.99",94,"27.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'boat':21 'butler':11 'crocodil':8 'display':5 'disturb':1 'lacklustur':4 'monkey':16 'must':13 'overcom':14 'scarfac':2 'u':20 'u-boat':19"
236,"Divine Resurrection","A Boring Character Study of a Man And a Womanizer who must Succumb a Teacher in An Abandoned Amusement Park",2006,1,4,"2.99",100,"19.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':20 'amus':21 'bore':4 'charact':5 'divin':1 'man':9 'must':14 'park':22 'resurrect':2 'studi':6 'succumb':15 'teacher':17 'woman':12"
242,"Doom Dancing","A Astounding Panorama of a Car And a Mad Scientist who must Battle a Lumberjack in A MySQL Convention",2006,1,4,"0.99",68,"13.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'astound':4 'battl':15 'car':8 'convent':21 'danc':2 'doom':1 'lumberjack':17 'mad':11 'must':14 'mysql':20 'panorama':5 'scientist':12"
245,"Double Wrath","A Thoughtful Yarn of a Womanizer And a Dog who must Challenge a Madman in The Gulf of Mexico",2006,1,4,"0.99",177,"28.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'challeng':14 'dog':11 'doubl':1 'gulf':19 'madman':16 'mexico':21 'must':13 'thought':4 'woman':8 'wrath':2 'yarn':5"
246,"Doubtfire Labyrinth","A Intrepid Panorama of a Butler And a Composer who must Meet a Mad Cow in The Sahara Desert",2006,1,5,"4.99",154,"16.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'butler':8 'compos':11 'cow':17 'desert':21 'doubtfir':1 'intrepid':4 'labyrinth':2 'mad':16 'meet':14 'must':13 'panorama':5 'sahara':20"
256,"Drop Waterfront","A Fanciful Documentary of a Husband And a Explorer who must Reach a Madman in Ancient China",2006,1,6,"4.99",178,"20.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'ancient':18 'china':19 'documentari':5 'drop':1 'explor':11 'fanci':4 'husband':8 'madman':16 'must':13 'reach':14 'waterfront':2"
263,"Durham Panky","A Brilliant Panorama of a Girl And a Boy who must Face a Mad Scientist in An Abandoned Mine Shaft",2006,1,6,"4.99",154,"14.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':20 'boy':11 'brilliant':4 'durham':1 'face':14 'girl':8 'mad':16 'mine':21 'must':13 'panki':2 'panorama':5 'scientist':17 'shaft':22"
269,"Earring Instinct","A Stunning Character Study of a Dentist And a Mad Cow who must Find a Teacher in Nigeria",2006,1,3,"0.99",98,"22.99","R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'charact':5 'cow':13 'dentist':9 'earring':1 'find':16 'instinct':2 'mad':12 'must':15 'nigeria':20 'studi':6 'stun':4 'teacher':18"
287,"Entrapment Satisfaction","A Thoughtful Panorama of a Hunter And a Teacher who must Reach a Mad Cow in A U-Boat",2006,1,5,"0.99",176,"19.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'boat':22 'cow':17 'entrap':1 'hunter':8 'mad':16 'must':13 'panorama':5 'reach':14 'satisfact':2 'teacher':11 'thought':4 'u':21 'u-boat':20"
288,"Escape Metropolis","A Taut Yarn of a Astronaut And a Technical Writer who must Outgun a Boat in New Orleans",2006,1,7,"2.99",167,"20.99","R","2013-05-26 14:50:58.951","{Trailers}","'astronaut':8 'boat':17 'escap':1 'metropoli':2 'must':14 'new':19 'orlean':20 'outgun':15 'taut':4 'technic':11 'writer':12 'yarn':5"
296,"Express Lonely","A Boring Drama of a Astronaut And a Boat who must Face a Boat in California",2006,1,5,"2.99",178,"23.99","R","2013-05-26 14:50:58.951","{Trailers}","'astronaut':8 'boat':11,16 'bore':4 'california':18 'drama':5 'express':1 'face':14 'lone':2 'must':13"
301,"Family Sweet","A Epic Documentary of a Teacher And a Boy who must Escape a Woman in Berlin",2006,1,4,"0.99",155,"24.99","R","2013-05-26 14:50:58.951","{Trailers}","'berlin':18 'boy':11 'documentari':5 'epic':4 'escap':14 'famili':1 'must':13 'sweet':2 'teacher':8 'woman':16"
309,"Feud Frogmen","A Brilliant Reflection of a Database Administrator And a Mad Cow who must Chase a Woman in The Canadian Rockies",2006,1,6,"0.99",98,"29.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'administr':9 'brilliant':4 'canadian':21 'chase':16 'cow':13 'databas':8 'feud':1 'frogmen':2 'mad':12 'must':15 'reflect':5 'rocki':22 'woman':18"
310,"Fever Empire","A Insightful Panorama of a Cat And a Boat who must Defeat a Boat in The Gulf of Mexico",2006,1,5,"4.99",158,"20.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'boat':11,16 'cat':8 'defeat':14 'empir':2 'fever':1 'gulf':19 'insight':4 'mexico':21 'must':13 'panorama':5"
312,"Fiddler Lost","A Boring Tale of a Squirrel And a Dog who must Challenge a Madman in The Gulf of Mexico",2006,1,4,"4.99",75,"20.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'bore':4 'challeng':14 'dog':11 'fiddler':1 'gulf':19 'lost':2 'madman':16 'mexico':21 'must':13 'squirrel':8 'tale':5"
314,"Fight Jawbreaker","A Intrepid Panorama of a Womanizer And a Girl who must Escape a Girl in A Manhattan Penthouse",2006,1,3,"0.99",91,"13.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'escap':14 'fight':1 'girl':11,16 'intrepid':4 'jawbreak':2 'manhattan':19 'must':13 'panorama':5 'penthous':20 'woman':8"
315,"Finding Anaconda","A Fateful Tale of a Database Administrator And a Girl who must Battle a Squirrel in New Orleans",2006,1,4,"0.99",156,"10.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'administr':9 'anaconda':2 'battl':15 'databas':8 'fate':4 'find':1 'girl':12 'must':14 'new':19 'orlean':20 'squirrel':17 'tale':5"
316,"Fire Wolves","A Intrepid Documentary of a Frisbee And a Dog who must Outrace a Lumberjack in Nigeria",2006,1,5,"4.99",173,"18.99","R","2013-05-26 14:50:58.951","{Trailers}","'documentari':5 'dog':11 'fire':1 'frisbe':8 'intrepid':4 'lumberjack':16 'must':13 'nigeria':18 'outrac':14 'wolv':2"
319,"Fish Opus","A Touching Display of a Feminist And a Girl who must Confront a Astronaut in Australia",2006,1,4,"2.99",125,"22.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'astronaut':16 'australia':18 'confront':14 'display':5 'feminist':8 'fish':1 'girl':11 'must':13 'opus':2 'touch':4"
323,"Flight Lies","A Stunning Character Study of a Crocodile And a Pioneer who must Pursue a Teacher in New Orleans",2006,1,7,"4.99",179,"22.99","R","2013-05-26 14:50:58.951","{Trailers}","'charact':5 'crocodil':9 'flight':1 'lie':2 'must':14 'new':19 'orlean':20 'pioneer':12 'pursu':15 'studi':6 'stun':4 'teacher':17"
329,"Forrest Sons","A Thrilling Documentary of a Forensic Psychologist And a Butler who must Defeat a Explorer in A Jet Boat",2006,1,4,"2.99",63,"15.99","R","2013-05-26 14:50:58.951","{Commentaries}","'boat':21 'butler':12 'defeat':15 'documentari':5 'explor':17 'forens':8 'forrest':1 'jet':20 'must':14 'psychologist':9 'son':2 'thrill':4"
333,"Freaky Pocus","A Fast-Paced Documentary of a Pastry Chef And a Crocodile who must Chase a Squirrel in The Gulf of Mexico",2006,1,7,"2.99",126,"16.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'chase':17 'chef':11 'crocodil':14 'documentari':7 'fast':5 'fast-pac':4 'freaki':1 'gulf':22 'mexico':24 'must':16 'pace':6 'pastri':10 'pocus':2 'squirrel':19"
337,"Frida Slipper","A Fateful Story of a Lumberjack And a Car who must Escape a Boat in An Abandoned Mine Shaft",2006,1,6,"2.99",73,"11.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'abandon':19 'boat':16 'car':11 'escap':14 'fate':4 'frida':1 'lumberjack':8 'mine':20 'must':13 'shaft':21 'slipper':2 'stori':5"
339,"Frogmen Breaking","A Unbelieveable Yarn of a Mad Scientist And a Cat who must Chase a Lumberjack in Australia",2006,1,5,"0.99",111,"17.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'australia':19 'break':2 'cat':12 'chase':15 'frogmen':1 'lumberjack':17 'mad':8 'must':14 'scientist':9 'unbeliev':4 'yarn':5"
342,"Fugitive Maguire","A Taut Epistle of a Feminist And a Sumo Wrestler who must Battle a Crocodile in Australia",2006,1,7,"4.99",83,"28.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'australia':19 'battl':15 'crocodil':17 'epistl':5 'feminist':8 'fugit':1 'maguir':2 'must':14 'sumo':11 'taut':4 'wrestler':12"
346,"Galaxy Sweethearts","A Emotional Reflection of a Womanizer And a Pioneer who must Face a Squirrel in Berlin",2006,1,4,"4.99",128,"13.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'berlin':18 'emot':4 'face':14 'galaxi':1 'must':13 'pioneer':11 'reflect':5 'squirrel':16 'sweetheart':2 'woman':8"
355,"Ghostbusters Elf","A Thoughtful Epistle of a Dog And a Feminist who must Chase a Composer in Berlin",2006,1,7,"0.99",101,"18.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'berlin':18 'chase':14 'compos':16 'dog':8 'elf':2 'epistl':5 'feminist':11 'ghostbust':1 'must':13 'thought':4"
356,"Giant Troopers","A Fateful Display of a Feminist And a Monkey who must Vanquish a Monkey in The Canadian Rockies",2006,1,5,"2.99",102,"10.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'canadian':19 'display':5 'fate':4 'feminist':8 'giant':1 'monkey':11,16 'must':13 'rocki':20 'trooper':2 'vanquish':14"
358,"Gilmore Boiled","A Unbelieveable Documentary of a Boat And a Husband who must Succumb a Student in A U-Boat",2006,1,5,"0.99",163,"29.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'boat':8,21 'boil':2 'documentari':5 'gilmor':1 'husband':11 'must':13 'student':16 'succumb':14 'u':20 'u-boat':19 'unbeliev':4"
363,"Go Purple","A Fast-Paced Display of a Car And a Database Administrator who must Battle a Woman in A Baloon",2006,1,3,"0.99",54,"12.99","R","2013-05-26 14:50:58.951","{Trailers}","'administr':14 'baloon':22 'battl':17 'car':10 'databas':13 'display':7 'fast':5 'fast-pac':4 'go':1 'must':16 'pace':6 'purpl':2 'woman':19"
365,"Gold River","A Taut Documentary of a Database Administrator And a Waitress who must Reach a Mad Scientist in A Baloon Factory",2006,1,4,"4.99",154,"21.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'administr':9 'baloon':21 'databas':8 'documentari':5 'factori':22 'gold':1 'mad':17 'must':14 'reach':15 'river':2 'scientist':18 'taut':4 'waitress':12"
367,"Goldmine Tycoon","A Brilliant Epistle of a Composer And a Frisbee who must Conquer a Husband in The Outback",2006,1,6,"0.99",153,"20.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'brilliant':4 'compos':8 'conquer':14 'epistl':5 'frisbe':11 'goldmin':1 'husband':16 'must':13 'outback':19 'tycoon':2"
